VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2/1/2016 0:00,2/1/2016 0:16,2,6.02,-73.99720764,40.7192421,1,N,-73.9095993,40.70793915,2,19.5,0.5,0.5,0,0,0.3,20.8
1,2/1/2016 0:00,2/1/2016 0:14,1,3.5,-73.99549103,40.72489929,1,N,-73.95331573,40.7187767,1,13.5,0.5,0.5,4,0,0.3,18.8
1,2/1/2016 0:00,2/1/2016 0:06,1,1.9,-73.96567535,40.76039886,1,N,-73.94622803,40.7478714,2,8,0.5,0.5,0,0,0.3,9.3
1,2/1/2016 0:00,2/1/2016 0:10,1,3,-74.0015564,40.73098755,1,N,-73.98557281,40.76638794,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2/1/2016 0:00,2/1/2016 0:07,1,0.8,-73.96174622,40.76427841,1,N,-73.97174835,40.75709152,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2/1/2016 0:00,2/1/2016 0:09,6,1.18,-74.00652313,40.7396698,1,N,-74.00489044,40.74087143,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2/1/2016 0:00,2/1/2016 0:09,1,2.14,-73.9900589,40.73247147,1,N,-73.99166107,40.75542068,2,9,0.5,0.5,0,0,0.3,10.3
1,2/1/2016 0:00,2/1/2016 0:23,3,5.9,-74.01204681,40.70666885,1,N,-73.95653534,40.73218155,1,20.5,0.5,0.5,4.35,0,0.3,26.15
1,2/1/2016 0:00,2/1/2016 0:21,1,7.6,-73.98490143,40.7436142,1,N,-73.94216156,40.82279587,2,24.5,0.5,0.5,0,0,0.3,25.8
1,2/1/2016 0:00,2/1/2016 0:12,2,2,-74.00762939,40.74079514,1,N,-73.98087311,40.7450676,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2/1/2016 0:00,2/1/2016 0:24,2,11.4,-73.86339569,40.77005768,1,N,-74.00439453,40.7340889,1,33.5,0.5,0.5,6.95,0,0.3,41.75
1,2/1/2016 0:00,2/1/2016 0:08,1,2.2,-73.96788025,40.75617599,1,N,-73.94560242,40.78193283,1,9,0,0.5,1.95,0,0.3,11.75
2,2/1/2016 0:00,2/1/2016 0:09,1,1.72,-74.00749207,40.74082184,1,N,-73.99485779,40.72501373,1,8,0.5,0.5,1,0,0.3,10.3
2,2/1/2016 0:00,2/1/2016 0:12,1,5.58,-73.7767868,40.64536667,1,N,-73.82113647,40.68419647,2,17,0.5,0.5,0,0,0.3,18.3
2,2/1/2016 0:01,2/1/2016 0:16,1,8.23,-73.87299347,40.7740593,1,N,-73.97733307,40.75175858,2,24,0.5,0.5,0,5.54,0.3,30.84
2,2/1/2016 0:01,2/1/2016 0:06,1,1.13,-73.98596954,40.75535965,1,N,-73.98458862,40.76749039,2,6,0.5,0.5,0,0,0.3,7.3
1,2/1/2016 0:01,2/1/2016 0:17,2,3.7,-73.98118591,40.77902222,1,N,-73.95207214,40.81230164,1,14.5,0.5,0.5,3.15,0,0.3,18.95
